omega,magnitude,phase
2.1190350447742916,0.0011042708158494191,0.47858504540090546
2.1313550159648402,0.0010420845817701587,0.47163594113800555
2.1436749871553884,0.000982957867151403,0.4647368557883057
2.1559949583459366,0.0009267539004554234,0.4578866885648724
2.1683149295364847,0.0008733419646951629,0.45108436304099525
2.180634900727033,0.0008225971081697984,0.4443288263592595
2.192954871917581,0.0007743998703564654,0.4376190484697476
2.2052748431081293,0.0007286360220960194,0.4309540213960152
2.2175948142986774,0.0006851963192640238,0.424332758527631
2.2299147854892256,0.0006439762691678873,0.4177542939380724
2.242234756679774,0.0006048759089575532,0.4112176817268782
2.254554727870322,0.0005677995953805312,0.40472199538496834
2.26687469906087,0.0005326558052526246,0.39826632718213817
2.2791946702514188,0.0004993569460536179,0.3918497875757503
2.291514641441967,0.00046781917609263853,0.3854715046397164
2.303834612632515,0.0004379622337210845,0.3791306235128903
2.3161545838230633,0.000409709275102022,0.372826305866052
2.3284745550136114,0.0003829867200740495,0.366557729386683
2.3407945262041596,0.0003577241056747945,0.3603240872807864
2.353114497394708,0.000333853946914726,0.35412458779103456
2.365434468585256,0.0003113116044158323,0.3479584537305577
2.377754439775804,0.0002900351585521177,0.3418249220317233
2.3900744109663523,0.00026996528974985843,0.33572324330928965
2.4023943821569005,0.0002510451646252588,0.3296526814373257
2.4147143533474487,0.00023322032765562897,0.32361251313934686
2.427034324537997,0.00021643859809755404,0.3176020275911182
2.4393542957285455,0.00020064997188181508,0.3116205260355997
2.4516742669190936,0.0001858065282301214,0.3056673214095577
2.463994238109642,0.0001718623407530985,0.2997417379813521
2.47631420930019,0.00015877339280247527,0.29384311099945537
2.488634180490738,0.00014649749686313954,0.28797078635127116
2.5009541516812863,0.0001349942177826654,0.28212412023183253
2.5132741228718345,0.00012422479964716831,0.2763024788219882
2.5255940940623827,0.00011415209612292512,0.2705052379756947
2.537914065252931,0.0001047405040931601,0.2647317829160504
2.550234036443479,9.595590042877974e-5,0.25898150793971525
2.562554007634027,8.776558174068402e-5,0.2532538161293981
2.5748739788245754,8.01382069696112e-5,0.2475481190740663
2.5871939500151235,7.30437426773283e-5,0.24186383659658559
2.599513921205672,6.645341091039121e-5,0.2362003964884908
2.6118338923962203,6.0339639514684447e-5,0.23055723425159408
2.6241538635867685,5.4676014785551855e-5,0.22493379284616927
2.6364738347773167,4.943723634455095e-5,0.2193295224454319
2.648793805967865,4.4599074139756594e-5,0.2137438801960799
2.661113777158413,4.013832747208888e-5,0.2081763299846353
2.673433748348961,3.603278595539961e-5,0.20262634220935707
2.6857537195395094,3.226119232301876e-5,0.19709339355750566
2.6980736907300575,2.8803206998162895e-5,0.19157696678772457
2.7103936619206057,2.563937435005671e-5,0.18607655051734265
2.722713633111154,2.2751090561830753e-5,0.18059163901438705
2.735033604301702,2.0120573040249028e-5,0.1751217319941139
2.7473535754922502,1.773083130110312e-5,0.16966633441985302
2.759673546682799,1.5565639267694584e-5,0.16422495630801223
2.771993517873347,1.360950892323235e-5,0.15879711253702664
2.784313489063895,1.1847665261199088e-5,0.15338232266011534
2.7966334602544434,1.0266022480812828e-5,0.1479801107216535
2.8089534314449915,8.85116137762296e-6,0.14259000507701283
2.8212734026355397,7.59030788205578e-6,0.13721153821570825
2.833593373826088,6.471312701363546e-6,0.1318442465877014
2.845913345016636,5.482632022945733e-6,0.1264876704327104
2.8582333162071842,4.6133092394076275e-6,0.12114135361238713
2.8705532873977324,3.852957658007527e-6,0.11580484344521545
2.8828732585882806,3.1917441593268536e-6,0.11047769054400411
2.8951932297788288,2.6203737720832893e-6,0.10515944865583356
2.9075132009693774,2.1300751330027487e-6,0.09984967450433417
2.9198331721599255,1.712586802576838e-6,0.09454792763416098
2.9321531433504737,1.3601444093644585e-6,0.08925377025756125
2.944473114541022,1.0654685972542072e-6,0.08396676710287718
2.95679308573157,8.217537517943547e-7,0.07868648526492839
2.9691130569221182,6.226574833226022e-7,0.07341249405708142
2.9814330281126664,4.622908461948258e-7,0.06814436486496034
2.9937529993032146,3.352092749238806e-7,0.06288167100165547
3.0060729704937628,2.364042195009365e-7,0.05762398756431813
3.018392941684311,1.6129546358665346e-7,0.05237089129205035
3.030712912874859,1.0572411063165664e-7,0.04712196042498144
3.0430328840654073,6.594622431900337e-8,0.04187677456441775
3.0553528552559555,3.862711101912821e-8,0.03663491453395412
3.067672826446504,2.0836233213702237e-8,0.03139596224150406
3.0799927976370522,1.0042744082195115e-8,0.026159500542050962
3.0923127688276004,4.111634657008172e-9,0.0209251131011136
3.1046327400181486,1.3004861429900192e-9,0.015692384258772937
3.1169527112086968,2.568211680847445e-10,0.010460898894189304
3.129272682399245,1.6048886785402956e-11,0.005230242290522584
3.141592653589793,1.566850564466597e-67,2.5649338801044816e-16
