omega,magnitude_db,phase_deg
4.755162406834014,-13.731248565919852,-78.12388208205897
5.112830759482942,-14.336264590921747,-78.93342884252775
5.497401800103736,-14.944527427178695,-79.69038764345623
5.910899064227987,-15.555626987600448,-80.39767937713043
6.355498291362295,-16.169201731520783,-81.05815914462929
6.833538873292303,-16.78493372543446,-81.67459657936564
7.347536163492151,-17.40254399856532,-82.24966148817681
7.900194712408972,-18.021788235535542,-82.78591389406287
8.4944224982638,-18.642452825858737,-83.28579767315829
9.133346228248625,-19.264351273479473,-83.75163708694758
9.820327790631257,-19.88732095794553,-84.18563561366967
10.558981944335786,-20.511220230978488,-84.58987657716618
11.353195339077613,-21.135925827309375,-84.96632515560734
12.207146966133182,-21.761330565933026,-85.3168314261689
13.12533014735226,-22.38734131681527,-85.64313416512657
14.11257617811452,-23.013877208095288,-85.94686517670074
15.174079748634945,-23.640868049602343,-86.22955396925134
16.315426277379736,-24.268252949780468,-86.49263263510692
17.542621300415917,-24.895979104684592,-86.73744082142508
18.862122071335175,-25.52400073943087,-86.96523070497439
20.280871538024616,-26.152278184249724,-87.1771719044716
21.806334875063275,-26.78077706902965,-87.37435628087523
23.446538763970537,-27.409467621907968,-87.55780258949626
25.210113627991248,-28.038324059030604,-87.72846095852186
27.10633904364837,-28.66732405405219,-87.8872171770425
29.145192568009907,-29.29644827727219,-88.0348967823445
31.337402238589046,-29.925679995502335,-88.17226894141928
33.694503022121594,-30.555004724839115,-88.30005012563115
36.22889750924289,-31.184409929478516,-88.41890758051701
38.953921174427265,-31.813884760566854,-88.52946259494965
41.88391254457479,-32.44341982983981,-88.63229357554327
45.03428864545836,-33.073007013470935,-88.72793893334178
48.42162612301507,-33.70263928213946,-88.81689979060867
52.06374846632575,-34.33231055384369,-88.89964251601924
55.97981979123284,-34.962015566438794,-88.97660109680452
60.190445678066624,-35.591749767273086,-89.04817935646898
64.71778159406794,-36.221509217642065,-89.11475302664142
69.58564947100446,-36.85129051008059,-89.17667168145559
74.81966305138829,-37.48109069677532,-89.23426054262168
80.44736266284185,-38.11090722760791,-89.28782216306219
86.49836012976684,-38.740737896537155,-89.33763799666289
93.00449458481393,-39.37058079520105,-89.38396986134606
100.0,-40.00043427276863,-89.42706130231653
